,Unnamed: 0,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
398,399,Onimusha Tactics,GBA,2003,Strategy,Capcom,60000,20000,0,0
481,482,San Goku Shi Taisen Ten,DS,2008,Strategy,Sega,0,0,70000,0
498,499,Front Mission 2,PS,1997,Strategy,SquareSoft,0,0,490000,30000
524,525,Syndicate Wars,PS,1997,Strategy,Electronic Arts,20000,10000,0,0
531,532,Worms: Open Warfare 2,DS,2007,Strategy,THQ,70000,250000,0,40000
544,545,Battalion Wars 2,Wii,2007,Strategy,Nintendo,220000,30000,80000,20000
546,547,Lord of the Rings: Tactics,PSP,2005,Strategy,Electronic Arts,110000,20000,0,20000
557,558,Pikmin 2,GC,2004,Strategy,Nintendo,480000,130000,560000,30000
561,562,Stormrise,PS3,2009,Strategy,Sega,130000,20000,0,20000
593,594,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0,0,180000,0
635,636,The Stronghold Collection,PC,2009,Strategy,Take-Two Interactive,30000,80000,0,20000
653,654,Total War Attila: Tyrants & Kings,PC,2016,Strategy,Koch Media,0,10000,0,0
661,662,Goblin Commander: Unleash the Horde,XB,2003,Strategy,Jaleco,60000,20000,0,0
669,670,SD Gundam: Gashapon Wars,Wii,2010,Strategy,Namco Bandai Games,0,0,30000,0
679,680,Worms,PS3,2009,Strategy,Sony Computer Entertainment,0,20000,0,10000
687,688,Kingdom Under Fire: Heroes,XB,2005,Strategy,Deep Silver,110000,30000,0,10000
700,701,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0,0,180000,0
710,711,Kessen III,PS2,2004,Strategy,Tecmo Koei,40000,30000,0,10000
713,714,R.U.S.E.,PC,2010,Strategy,Ubisoft,40000,190000,0,50000
719,720,Super Robot Taisen Complete Box,PS,1999,Strategy,Banpresto,0,0,290000,20000
754,755,Nobunaga no Yabou DS 2,DS,2008,Strategy,Tecmo Koei,0,0,30000,0
780,781,Fritz Chess,Wii,2009,Strategy,Deep Silver,20000,10000,0,0
782,783,Might & Magic Heroes VII,PC,2015,Strategy,Ubisoft,0,80000,0,0
793,794,Warhammer: Mark of Chaos,PC,2006,Strategy,Deep Silver,0,20000,0,0
833,834,The Lord of the Rings: The Battle for Middle-Earth,PC,2004,Strategy,Electronic Arts,10000,60000,0,10000
837,838,SD Gundam: Scad Hammers,Wii,2006,Strategy,Namco Bandai Games,0,0,50000,0
860,861,Rebelstar: Tactical Command,GBA,2005,Strategy,Atari,40000,10000,0,0
878,879,Tears to Tiara Anecdotes: The Secret of Avalon,PS3,2009,Strategy,Aqua Plus,0,0,40000,0
881,882,Super Robot Taisen α,PS,2000,Strategy,Banpresto,0,0,750000,50000
910,911,Codename: Panzers Cold War,PC,2009,Strategy,Atari,0,20000,0,10000
927,928,Caesar IV,PC,2006,Strategy,Vivendi Games,0,30000,0,10000
939,940,Palais de Reine,PS2,2007,Strategy,Interchannel-Holon,0,0,10000,0
961,962,Worms: Open Warfare 2,PSP,2007,Strategy,THQ,40000,260000,0,140000
989,990,Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,20000,100000,0,20000
991,992,"Warhammer 40,000: Squad Command",PSP,2007,Strategy,THQ,110000,140000,0,80000
1033,1034,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010,Strategy,Konami Digital Entertainment,180000,20000,90000,20000
1039,1040,Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,10000,10000,90000,10000
1075,1076,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,110000,140000,330000,20000
1103,1104,Command & Conquer,PS,1996,Strategy,Virgin Interactive,220000,150000,0,30000
1120,1121,Yu-Gi-Oh! The Falsebound Kingdom,GC,2002,Strategy,Konami Digital Entertainment,490000,130000,70000,20000
1175,1176,Weiss Schwarz Portable,PSP,2011,Strategy,Namco Bandai Games,0,0,100000,0
1181,1182,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0,0,290000,0
1186,1187,GrimGrimoire,PS2,2007,Strategy,Tecmo Koei,10000,10000,30000,0
1222,1223,R.U.S.E.,PS3,2010,Strategy,Ubisoft,180000,220000,20000,90000
1228,1229,Romance of the Three Kingdoms VII,PS2,2000,Strategy,Tecmo Koei,80000,60000,160000,20000
1266,1267,Project V6,PS,1998,Strategy,General Entertainment,0,0,130000,10000
1293,1294,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,310000,250000,0,60000
1341,1342,Worms 4: Mayhem,XB,2005,Strategy,Codemasters,30000,10000,0,0
1351,1352,Field Commander,PSP,2006,Strategy,Sony Online Entertainment,140000,0,0,10000
1354,1355,World in Conflict: Complete Edition,PC,2009,Strategy,Ubisoft,0,30000,0,10000
1374,1375,Total War: Rome II,PC,2013,Strategy,Sega,120000,530000,0,110000
1381,1382,Fritz Chess,PS3,2009,Strategy,Deep Silver,0,30000,0,10000
1410,1411,Saihai no Yukue,DS,2008,Strategy,Tecmo Koei,0,0,30000,0
1469,1470,Total War: WARHAMMER,PC,2016,Strategy,Sega,0,100000,0,10000
1475,1476,Super Robot Taisen D,GBA,2003,Strategy,Banpresto,0,0,230000,10000
1492,1493,Houshinengi,PS,1998,Strategy,Tecmo Koei,0,0,130000,10000
1516,1517,Total War: Attila,PC,2015,Strategy,Sega,90000,130000,0,20000
1557,1558,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,230000,160000,0,30000
1598,1599,Lock's Quest,DS,2008,Strategy,THQ,80000,0,0,10000
1648,1649,Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,180000,0,0,10000
1657,1658,Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,20000,120000,0,30000
1679,1680,The Eye of Judgment: Legends,PSP,2010,Strategy,Sony Computer Entertainment,0,0,10000,0
1701,1702,WorldShift,PC,2009,Strategy,Playlogic Game Factory,20000,0,0,0
1721,1722,Commander: Conquest of the Americas,PC,2010,Strategy,Paradox Interactive,0,20000,0,10000
1723,1724,Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,170000,120000,10000,30000
1813,1814,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0,0,160000,10000
1835,1836,Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,580000,170000,0,70000
1839,1840,Devil Survivor: Over Clock,3DS,2015,Strategy,Atlus,0,0,20000,0
1906,1907,Neo Atlas,PS,1998,Strategy,ArtDink,0,0,90000,10000
1938,1939,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011,Strategy,Banpresto,0,0,420000,0
1950,1951,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,470000,170000,0,10000
1965,1966,Conflict Zone,PS2,2002,Strategy,Ubisoft,100000,80000,0,30000
1999,2000,T.A.C. Heroes : Big Red One,DS,2010,Strategy,Storm City Games,20000,0,0,0
2039,2040,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,Broccoli,0,0,30000,0
2107,2108,Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,20000,60000,0,10000
2110,2111,Supreme Commander,PC,2007,Strategy,THQ,0,40000,0,10000
2122,2123,Rome: Total War,PC,2004,Strategy,Activision,0,80000,0,20000
2158,2159,Yuusha no Kuse ni Namaikida Or 3D,PSP,2010,Strategy,Sony Computer Entertainment,0,0,110000,0
2268,2269,Catan,DS,2009,Strategy,CDV Software Entertainment,0,20000,0,0
2271,2272,Space Hulk,PSV,2015,Strategy,Funbox Media,0,10000,0,0
2277,2278,P.T.O. IV: Pacific Theater of Operations,PS2,2002,Strategy,Tecmo Koei,40000,30000,0,10000
2287,2288,Glory Days 2,DS,2007,Strategy,Ghostlight,80000,0,0,10000
2336,2337,Empire Earth II,PC,2005,Strategy,Vivendi Games,0,30000,0,0
2352,2353,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,Strategy,Namco Bandai Games,0,0,170000,0
2464,2465,Super Robot Taisen R,GBA,2002,Strategy,Banpresto,0,0,250000,10000
2475,2476,Shining Force II,GEN,1993,Strategy,Sega,0,0,190000,0
2516,2517,Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,Take-Two Interactive,80000,10000,0,10000
2517,2518,SD Gundam G Generation Zero,PS,1999,Strategy,Namco Bandai Games,0,0,510000,40000
2523,2524,Warhammer: Shadow of the Horned Rat,PS,1996,Strategy,Mindscape,110000,70000,0,10000
2528,2529,Oil Rush,PC,2012,Strategy,Iceberg Interactive,0,20000,0,0
2529,2530,Medieval II: Total War,PC,2006,Strategy,Sega,0,80000,0,20000
2534,2535,Nobunaga no Yabou: Tenshoki,SAT,1995,Strategy,Tecmo Koei,0,0,110000,0
2556,2557,Overlord,X360,2007,Strategy,Codemasters,340000,30000,10000,30000
2571,2572,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,0,0,590000,0
2585,2586,Cities XL 2012,PC,2011,Strategy,Focus Home Interactive,10000,50000,0,10000
2608,2609,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,Strategy,Konami Digital Entertainment,0,0,20000,0
2627,2628,Anno 2205,PC,2015,Strategy,Ubisoft,20000,220000,0,10000
2640,2641,Robin Hood: Defender of the Crown,XB,2003,Strategy,Capcom,20000,10000,0,0
2654,2655,Taikou Risshiden V,PSP,2009,Strategy,Tecmo Koei,0,0,40000,0
2658,2659,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1320000,20000,0,0
2681,2682,Yu-Gi-Oh! World Championship 2007,DS,2007,Strategy,Konami Digital Entertainment,0,10000,40000,0
2702,2703,Duel Masters,PS2,2004,Strategy,Atari,130000,100000,0,30000
2739,2740,Commandos 3: Destination Berlin,PC,2003,Strategy,Eidos Interactive,0,20000,0,0
2746,2747,The Lord of the Rings: The Battle for Middle-Earth II,PC,2006,Strategy,Electronic Arts,10000,10000,0,0
2757,2758,Tenka-bito,PS2,2006,Strategy,Sega,0,0,30000,0
2804,2805,Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,Strategy,CyberFront,0,0,10000,0
2825,2826,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2560000,1680000,0,590000
2853,2854,San Goku Shi DS 2,DS,2007,Strategy,Tecmo Koei,0,0,20000,0
2876,2877,Command & Conquer Collection,PC,2003,Strategy,Electronic Arts,10000,0,0,0
2925,2926,Empire: Total War,PC,2009,Strategy,Sega,10000,970000,0,110000
2941,2942,Culdcept,PS2,2002,Strategy,Sega,10000,10000,0,0
2965,2966,Tactics Layer: Ritina Guard Senki,DS,2009,Strategy,D3Publisher,0,0,10000,0
2973,2974,Tears to Tiara: Garland of the Earth,PS3,2008,Strategy,Aqua Plus,0,0,80000,0
3002,3003,Military History: Commander - Europe at War,DS,2009,Strategy,Slitherine Software,0,10000,0,0
3009,3010,Future Tactics: The Uprising,PS2,2004,Strategy,Crave Entertainment,30000,30000,0,10000
3044,3045,Kamen Rider Battle: Ganbaride,DS,2010,Strategy,Namco Bandai Games,0,0,140000,0
3134,3135,SD Gundam G Generation: Overworld,PSP,2012,Strategy,Namco Bandai Games,0,0,310000,0
3146,3147,Plants vs. Zombies,PC,2009,Strategy,PopCap Games,0,40000,0,10000
3161,3162,Dungeons & Dragons Tactics,PSP,2007,Strategy,Atari,90000,0,0,10000
3207,3208,Civilization II,PS,1998,Strategy,Activision,150000,110000,0,20000
3276,3277,Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,30000,0,0,10000
3281,3282,Pawly Pets: My Vet Practice,DS,2007,Strategy,Ubisoft,0,60000,0,10000
3313,3314,Super Robot Taisen L,DS,2010,Strategy,Namco Bandai Games,0,0,170000,0
3315,3316,Sim Theme Park,PS,1999,Strategy,Electronic Arts,350000,240000,0,40000
3316,3317,R-Type Command (correct US sales),PSP,2007,Strategy,Rising Star Games,40000,0,0,0
3365,3366,WarCraft II: The Dark Saga,PS,1997,Strategy,Electronic Arts,180000,120000,0,20000
3372,3373,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0,0,240000,20000
3378,3379,Pharaoh,PC,1998,Strategy,Vivendi Games,0,20000,0,0
3434,3435,Stronghold 2 Deluxe,PC,2005,Strategy,Take-Two Interactive,0,20000,0,0
3449,3450,Builder's Block,PS,1999,Strategy,EON Digital Entertainment,10000,0,0,0
3457,3458,McDROID,Wii,2011,Strategy,Namco Bandai Games,0,0,120000,0
3487,3488,Full Spectrum Warrior,PS2,2005,Strategy,THQ,150000,110000,0,40000
3493,3494,ChuChu Rocket!,GBA,2001,Strategy,Atari,60000,20000,0,0
3556,3557,Galaxy Angel II: Eigou Kaiki no Koku,PS2,2009,Strategy,Broccoli,0,0,20000,0
3558,3559,Strike Witches: Shirogane no Tsubasa,PSP,2012,Strategy,Kadokawa Shoten,0,0,20000,0
3582,3583,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,Strategy,Konami Digital Entertainment,0,30000,180000,10000
3606,3607,Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007,Strategy,Broccoli,0,0,30000,0
3643,3644,Codename: Panzers Complete Collection,PC,2016,Strategy,Nordic Games,0,10000,0,0
3685,3686,Empire Earth,PC,2001,Strategy,Vivendi Games,0,40000,0,10000
3726,3727,Allied General,PS,1996,Strategy,SSI,110000,70000,0,10000
3749,3750,Cossacks: European Wars,PC,2001,Strategy,Strategy First,0,20000,0,0
3770,3771,Port Royale 2,PC,2004,Strategy,Ascaron Entertainment GmbH,0,30000,0,10000
3800,3801,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007,Strategy,Konami Digital Entertainment,0,0,30000,0
3804,3805,Battlezone: Rise of the Black Dogs,N64,2000,Strategy,Crave Entertainment,60000,10000,0,0
3836,3837,Real Time Conflict: Shogun Empires,DS,2005,Strategy,Namco Bandai Games,60000,0,0,0
3894,3895,Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,DS,2010,Strategy,Namco Bandai Games,0,0,120000,0
3965,3966,Langrisser III,SAT,1996,Strategy,NCS,0,0,200000,0
3984,3985,Supreme Commander 2,PC,2010,Strategy,Square Enix,0,150000,0,40000
3994,3995,Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,40000,180000,0,40000
4077,4078,Tank Beat,DS,2006,Strategy,Midas Interactive Entertainment,10000,10000,0,0
4082,4083,Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,90000,70000,0,20000
4111,4112,Dragon Quest Monsters: Battle Road Victory,Wii,2010,Strategy,Square Enix,0,0,320000,0
4127,4128,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Namco Bandai Games,0,0,380000,0
4130,4131,Super Robot Taisen F Kanketsuhen,PS,1999,Strategy,Banpresto,0,0,210000,10000
4131,4132,Black & White,PC,2001,Strategy,Electronic Arts,0,40000,0,10000
4135,4136,Plants vs. Zombies,DS,2011,Strategy,Mastertronic,950000,150000,0,80000
4188,4189,Worms Armageddon,N64,1999,Strategy,Infogrames,30000,10000,0,0
4207,4208,Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,10000,20000,0,0
4220,4221,Super Robot Taisen EX,SNES,1994,Strategy,Banpresto,0,0,370000,0
4322,4323,Star Wars: Empire at War - Gold Pack,PC,2007,Strategy,LucasArts,10000,60000,0,10000
4338,4339,Ninjatown,DS,2008,Strategy,SouthPeak Games,120000,0,0,10000
4351,4352,Scarface: Money. Power. Respect.,PSP,2006,Strategy,Vivendi Games,150000,0,0,10000
4360,4361,Hyakumanton no Bara Bara,PSP,2010,Strategy,Sony Computer Entertainment,0,0,30000,0
4451,4452,War for the Overworld,PC,2015,Strategy,Unknown,0,10000,0,0
4513,4514,Commandos 2: Men of Courage,XB,2002,Strategy,Eidos Interactive,50000,20000,0,0
4575,4576,Civilization Beyond Earth: Rising Tide,PC,2015,Strategy,Take-Two Interactive,0,40000,0,0
4618,4619,Angry Birds Star Wars,XOne,2013,Strategy,Activision,110000,40000,0,10000
4630,4631,Super Robot Taisen 64,N64,1999,Strategy,Banpresto,0,0,200000,0
4662,4663,Tom Clancy's EndWar,PC,2009,Strategy,Ubisoft,0,20000,0,0
4663,4664,Men of War: Vietnam,PC,2011,Strategy,Unknown,0,30000,0,10000
4678,4679,Tropico 3,PC,2009,Strategy,Kalypso Media,0,40000,0,10000
4730,4731,Wrath Unleashed,XB,2004,Strategy,LucasArts,30000,10000,0,0
4740,4741,Angry Birds Star Wars,WiiU,2013,Strategy,Activision,60000,40000,0,10000
4760,4761,Farm Frenzy 3,DS,2011,Strategy,Unknown,0,20000,0,0
4762,4763,Super Robot Taisen K,DS,2009,Strategy,Namco Bandai Games,0,0,210000,0
4765,4766,Front Mission 4,PS2,2003,Strategy,Square Enix,140000,110000,250000,40000
4778,4779,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,240000,250000,0,110000
4789,4790,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1700000,2270000,0,230000
4805,4806,FabStyle,3DS,2011,Strategy,Tecmo Koei,0,0,30000,0
4835,4836,Anno 2070,PC,2011,Strategy,Ubisoft,0,1130000,0,320000
4842,4843,Super Robot Taisen W,DS,2007,Strategy,Banpresto,0,0,300000,0
4848,4849,Battle of Giants: Mutant Insects,DS,2010,Strategy,Ubisoft,90000,150000,0,30000
4866,4867,Heroes of Mana,DS,2007,Strategy,Square Enix,80000,10000,50000,10000
4882,4883,Worms: Battle Islands,Wii,2010,Strategy,THQ,110000,100000,0,20000
4886,4887,SD Gundam G Generation Wars,Wii,2009,Strategy,Namco Bandai Games,0,0,60000,0
4905,4906,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Strategy,Tecmo Koei,0,0,530000,0
4908,4909,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,10000,220000,0,50000
4944,4945,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1370000,1340000,0,140000
4972,4973,BattleForge,PC,2009,Strategy,Electronic Arts,0,10000,0,0
4999,5000,Thrillville,PS2,2006,Strategy,Atari,550000,20000,0,90000
5002,5003,Majesty 2 Collection,PC,2011,Strategy,Paradox Interactive,0,10000,0,0
5085,5086,RollerCoaster Tycoon 3: Platinum,PC,2005,Strategy,Atari,10000,60000,0,10000
5093,5094,Vandal Hearts II,PS,1999,Strategy,Konami Digital Entertainment,60000,40000,0,10000
5103,5104,Dinosaur King,DS,2007,Strategy,Sega,200000,0,0,20000
5171,5172,Full Spectrum Warrior: Ten Hammers,XB,2006,Strategy,THQ,30000,10000,0,0
5179,5180,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,Strategy,Konami Digital Entertainment,0,0,1100000,0
5263,5264,Thrillville: Off the Rails,Wii,2007,Strategy,LucasArts,390000,20000,0,30000
5293,5294,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,320000,260000,120000,170000
5298,5299,Romance of the Three Kingdoms VIII,PS2,2002,Strategy,Tecmo Koei,50000,40000,190000,10000
5327,5328,Super Robot Taisen MX,PS2,2004,Strategy,Banpresto,0,0,500000,0
5354,5355,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011,Strategy,Konami Digital Entertainment,100000,30000,70000,10000
5362,5363,Elements of Destruction,DS,2007,Strategy,THQ,70000,0,0,10000
5382,5383,Stormrise,PC,2009,Strategy,Sega,0,20000,0,0
5389,5390,Worms 2,PC,1997,Strategy,Microprose,0,10000,0,0
5400,5401,Risk: Global Domination,PS2,2003,Strategy,Atari,190000,150000,0,50000
5435,5436,Super Robot Taisen OG: Original Generations Gaiden,PS2,2007,Strategy,Banpresto,0,0,300000,0
5451,5452,X-COM: UFO Defense,PS,1995,Strategy,Microprose,50000,40000,0,10000
5468,5469,Worms: Open Warfare,DS,2006,Strategy,THQ,50000,30000,0,10000
5481,5482,The Settlers: Rise of an Empire,PC,2007,Strategy,Ubisoft,10000,10000,0,0
5485,5486,Romance of the Three Kingdoms IX,PS2,2003,Strategy,Tecmo Koei,30000,30000,0,10000
5508,5509,Farm Frenzy,PC,2008,Strategy,Mumbo Jumbo,10000,0,0,0
5513,5514,Nobunaga's Ambition: Sphere of Influence,PSV,2014,Strategy,Tecmo Koei,0,0,50000,0
5522,5523,Super Robot Taisen MX Portable,PSP,2005,Strategy,Banpresto,0,0,90000,0
5530,5531,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0,0,570000,0
5573,5574,Super Robot Taisen Z,PS2,2008,Strategy,Namco Bandai Games,0,0,500000,0
5641,5642,Elven Legacy Collection,PC,2010,Strategy,Paradox Interactive,0,10000,0,0
5644,5645,Nobunaga no Yabou: Reppuuden,PS,1999,Strategy,Tecmo Koei,0,0,190000,10000
5678,5679,Dynasty Tactics,PS2,2002,Strategy,Tecmo Koei,60000,50000,160000,20000
5685,5686,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,0,0,540000,40000
5707,5708,Tropico 3: Gold Edition,PC,2010,Strategy,Kalypso Media,0,10000,0,0
5773,5774,Shining Force Feather,DS,2009,Strategy,Sega,0,0,60000,0
5862,5863,Angry Birds Star Wars,PS3,2013,Strategy,Activision,100000,170000,0,60000
5871,5872,Order of War,PC,2009,Strategy,Square Enix,0,10000,0,0
5880,5881,Robin Hood: Defender of the Crown,PS2,2003,Strategy,Capcom,90000,70000,0,20000
5897,5898,Drone Tactics,DS,2007,Strategy,Success,10000,0,0,0
5940,5941,Kidou Senshi Gundam: Giren no Yabou,SAT,1998,Strategy,Namco Bandai Games,0,0,250000,0
6004,6005,Heroes of Might and Magic V,PC,2006,Strategy,Ubisoft,0,30000,0,10000
6009,6010,Battle Stations,PS,1997,Strategy,Electronic Arts,430000,290000,0,50000
6111,6112,ParaWorld,PC,2006,Strategy,Deep Silver,0,20000,0,0
6124,6125,Aliens versus Predator: Extinction,XB,2003,Strategy,Electronic Arts,60000,20000,0,0
6149,6150,Farm Frenzy 3,PC,2009,Strategy,Alawar Entertainment,0,30000,0,10000
